t 1 2 3 4 5 jL0400 6 7 8 jE0201 jH0801 jyH0801 jVX jV0600 
0 0 2.78059 -9.26121e-016 0.998355 2.78059 1.1125 1 0 8.10822 -2.78059 0 2.78059 8.10822 -9.22071 
0.01 0 2.63055 -8.7615e-016 0.995826 2.63055 1.12245 1 0 3.78149 -2.63055 0 2.63055 3.78149 -4.90394 
0.02 0 2.53865 -8.4554e-016 0.992725 2.53865 1.13238 1 0 2.02669 -2.53865 0 2.53865 2.02669 -3.15907 
0.03 0 2.47647 -8.24831e-016 0.989213 2.47647 1.14227 1 0 1.13638 -2.47647 0 2.47647 1.13638 -2.27866 
0.04 0 2.43169 -8.09915e-016 0.985385 2.43169 1.15213 1 0 0.618993 -2.43169 0 2.43169 0.618993 -1.77112 
0.05 0 2.39803 -7.98704e-016 0.981301 2.39803 1.16194 1 0 0.28987 -2.39803 0 2.39803 0.28987 -1.45181 
0.06 0 2.37194 -7.90016e-016 0.977004 2.37194 1.17171 1 0 0.0666408 -2.37194 0 2.37194 0.0666408 -1.23835 
0.07 0 2.35126 -7.83127e-016 0.972524 2.35126 1.18143 1 0 -0.0921516 -2.35126 0 2.35126 -0.0921516 -1.08928 
0.08 0 2.33456 -7.77566e-016 0.967882 2.33456 1.19111 1 0 -0.209324 -2.33456 0 2.33456 -0.209324 -0.98179 
0.09 0 2.32089 -7.73011e-016 0.963097 2.32089 1.20074 1 0 -0.298331 -2.32089 0 2.32089 -0.298331 -0.902414 
0.1 0 2.30956 -7.69237e-016 0.958182 2.30956 1.21033 1 0 -0.367552 -2.30956 0 2.30956 -0.367552 -0.842775 
0.11 0 2.30007 -7.66078e-016 0.953148 2.30007 1.21986 1 0 -0.422444 -2.30007 0 2.30007 -0.422444 -0.797414 
0.12 0 2.29207 -7.63411e-016 0.948004 2.29207 1.22934 1 0 -0.466696 -2.29207 0 2.29207 -0.466696 -0.762642 
0.13 0 2.28525 -7.61142e-016 0.942757 2.28525 1.23877 1 0 -0.50288 -2.28525 0 2.28525 -0.50288 -0.735886 
0.14 0 2.27941 -7.59197e-016 0.937414 2.27941 1.24814 1 0 -0.532835 -2.27941 0 2.27941 -0.532835 -0.715304 
0.15 0 2.27438 -7.5752e-016 0.93198 2.27438 1.25746 1 0 -0.557912 -2.27438 0 2.27438 -0.557912 -0.699548 
0.16 0 2.27001 -7.56064e-016 0.926459 2.27001 1.26672 1 0 -0.579116 -2.27001 0 2.27001 -0.579116 -0.687608 
0.17 0 2.26619 -7.54792e-016 0.920856 2.26619 1.27593 1 0 -0.597215 -2.26619 0 2.26619 -0.597215 -0.678718 
